,sl_no,gender,ssc_p,ssc_b,hsc_p,hsc_b,hsc_s,degree_p,degree_t,workex,etest_p,specialisation,mba_p,status,salary
0,0,1,46,1,93,1,1,14,2,0,9,1,64,1,19
1,1,1,82,0,79,1,2,74,2,1,74,0,153,1,0
2,2,1,42,0,51,0,0,27,0,0,55,0,50,1,12
3,3,1,22,0,14,0,2,3,2,0,37,1,72,0,64
4,4,1,98,0,70,0,1,65,0,0,96,0,28,1,39
5,5,1,19,1,10,1,2,43,2,1,9,0,3,0,51
6,6,0,5,1,9,1,1,81,0,0,53,0,11,0,55
7,7,1,89,0,37,0,2,38,2,1,38,0,103,1,13
8,8,1,61,0,81,0,1,60,0,0,84,0,95,1,8
9,9,1,25,0,55,0,1,20,0,0,7,0,4,0,59
10,10,1,25,0,28,0,1,18,0,1,31,1,90,1,15
11,11,1,53,0,52,0,1,79,0,1,27,0,127,1,12
12,12,0,6,0,18,1,2,36,0,0,31,1,138,0,53
13,13,0,74,0,87,0,1,15,0,0,39,0,172,1,4
14,14,1,36,0,7,0,1,0,0,0,58,1,20,0,65
15,15,0,42,0,73,0,1,48,0,1,48,0,134,1,0
16,16,1,37,0,46,0,1,37,0,1,27,0,112,1,28
17,17,0,19,0,49,0,1,27,0,0,27,0,164,0,61
18,18,0,37,0,45,0,1,27,0,0,39,1,128,0,67
19,19,1,29,1,49,1,0,53,0,1,1,0,204,1,10
20,20,1,36,1,41,1,1,38,0,0,0,1,37,1,17
21,21,0,81,1,74,1,1,87,0,0,91,0,175,1,35
22,22,0,55,1,27,1,2,62,2,0,11,1,173,1,33
23,23,0,75,1,24,1,2,34,2,1,85,0,126,1,28
24,24,1,71,1,96,1,2,80,2,0,98,0,198,1,33
25,25,0,13,1,17,0,1,1,0,1,58,0,140,0,95
26,26,1,59,1,81,1,1,38,0,1,90,0,47,1,11
27,27,1,37,1,49,1,1,38,0,0,39,1,49,1,17
28,28,1,73,1,75,1,1,45,0,1,51,0,129,1,32
29,29,1,36,0,49,0,1,14,0,0,59,0,1,0,101
30,30,0,40,0,69,0,1,64,0,0,3,1,37,1,12
31,31,0,46,0,15,0,2,36,2,0,34,1,56,0,110
32,32,0,33,0,83,0,1,39,0,0,2,1,105,1,22
33,33,0,100,1,41,1,2,83,0,1,78,0,195,1,15
34,34,1,36,1,13,1,2,3,1,0,40,1,117,0,68
35,35,0,51,0,78,0,1,60,0,0,46,1,116,1,28
36,36,1,10,0,5,0,1,12,0,0,34,0,2,0,105
37,37,0,81,0,74,0,2,37,2,0,22,1,27,1,29
38,38,0,61,1,21,1,2,38,0,0,5,1,39,1,11
39,39,1,87,1,51,1,2,27,2,0,87,0,113,1,37
40,40,0,79,0,76,1,1,82,0,0,27,0,157,1,25
41,41,0,64,1,36,1,1,36,0,1,36,1,180,0,107
42,42,1,8,1,1,0,2,36,1,0,32,0,0,0,109
43,43,1,100,1,87,1,1,46,0,0,91,1,119,1,28
44,44,0,74,1,66,1,1,83,0,1,80,0,177,1,0
45,45,0,70,0,37,0,2,60,2,0,22,1,155,0,91
46,46,0,58,1,62,1,2,37,0,0,39,1,190,0,90
47,47,1,37,0,24,0,1,12,0,1,60,0,18,1,1
48,48,1,37,1,32,1,1,46,0,0,34,0,109,1,12
49,49,0,9,1,0,1,0,3,1,0,36,1,31,0,78
50,50,0,68,0,67,0,2,47,0,0,36,1,122,1,0
51,51,1,18,0,29,0,1,9,0,0,38,1,114,0,70
52,52,0,0,1,6,1,1,4,0,0,47,1,143,0,71
53,53,1,83,1,55,1,2,60,2,0,75,1,186,1,40
54,54,0,64,0,24,1,2,48,0,0,60,1,145,1,3
55,55,1,31,0,47,1,2,36,0,0,46,1,7,1,5
56,56,1,37,1,60,1,1,22,0,0,39,0,158,1,11
57,57,1,49,0,74,0,1,67,0,0,63,0,125,1,33
58,58,1,64,0,32,1,2,46,0,0,52,0,52,1,18
59,59,1,14,0,43,1,2,61,2,0,20,0,36,1,17
60,60,1,64,0,55,0,2,60,0,1,27,0,43,1,15
61,61,1,95,0,68,0,1,41,0,0,30,0,110,1,28
62,62,0,99,1,38,1,2,44,2,0,25,0,75,1,11
63,63,1,33,1,55,1,1,27,0,0,41,1,74,0,73
64,64,1,83,1,66,1,1,68,0,0,28,0,62,1,11
65,65,1,16,1,7,1,2,12,0,0,81,1,42,0,74
66,66,1,90,1,71,1,2,38,0,0,43,1,59,1,20
67,67,1,86,1,80,1,1,42,0,0,42,0,92,1,20
68,68,0,54,0,7,0,1,63,2,0,62,1,69,0,76
69,69,1,61,0,66,0,2,38,2,1,45,0,168,1,20
70,70,1,89,1,28,1,2,23,2,0,80,0,141,1,33
71,71,1,67,1,57,1,1,56,0,0,91,0,159,1,11
72,72,1,96,1,49,1,2,78,0,0,93,0,170,1,11
73,73,1,41,0,85,1,1,58,0,0,72,0,76,1,4
74,74,1,24,0,39,0,1,54,0,0,70,0,163,1,30
75,75,0,26,0,32,1,1,75,0,0,52,1,160,0,83
76,76,0,45,1,58,0,0,59,0,0,28,0,130,1,7
77,77,1,40,1,82,1,2,36,2,1,44,0,48,1,41
78,78,1,94,1,92,1,2,32,2,0,73,0,71,1,19
79,79,0,51,0,32,0,2,38,2,0,55,1,166,0,86
80,80,0,51,1,32,1,1,48,0,1,38,1,107,1,11
81,81,1,88,1,35,1,2,42,0,1,72,0,181,1,28
82,82,1,37,0,49,0,1,67,0,0,66,0,84,0,103
83,83,1,94,1,81,1,2,46,2,1,69,0,156,1,28
84,84,1,56,0,35,1,2,53,2,1,9,0,102,1,28
85,85,0,92,1,90,1,1,72,0,1,61,0,202,1,36
86,86,1,36,1,35,1,1,27,0,0,38,0,41,1,5
87,87,1,27,0,13,0,2,18,1,0,55,1,68,0,87
88,88,0,44,0,32,0,1,64,0,0,22,1,132,1,2
89,89,0,94,1,73,1,2,48,2,1,31,1,108,1,2
90,90,0,97,1,91,1,1,84,0,0,85,0,167,1,28
91,91,1,12,0,20,0,1,2,0,0,38,1,118,0,85
92,92,0,30,0,53,0,2,38,0,0,48,0,73,1,7
93,93,1,12,0,32,0,1,5,0,0,48,1,26,0,84
94,94,1,25,0,32,0,1,27,0,0,6,0,21,1,15
95,95,1,61,0,78,1,1,36,0,1,92,0,104,1,38
96,96,0,70,0,55,0,2,70,0,1,37,0,133,1,28
97,97,0,57,0,33,1,1,20,0,0,89,0,174,0,82
98,98,0,51,0,66,0,1,36,0,0,45,0,45,1,5
99,99,1,16,0,84,1,1,25,2,0,0,0,73,0,81
100,100,0,4,1,20,1,1,14,0,1,16,1,137,0,80
101,101,1,37,0,63,0,1,46,0,0,60,1,84,1,34
102,102,0,74,1,28,1,1,46,0,1,19,0,97,1,28
103,103,1,61,0,78,0,2,64,2,1,71,1,148,1,11
104,104,1,51,0,35,1,2,36,0,1,9,1,53,1,33
105,105,1,26,0,37,1,2,14,2,0,71,1,25,0,88
106,106,1,34,1,11,1,2,5,2,0,46,0,147,0,79
107,107,1,89,1,91,1,1,85,0,0,63,1,197,1,0
108,108,1,33,0,84,0,1,48,0,0,69,0,55,1,28
109,109,1,12,0,35,1,2,36,2,1,72,1,30,0,77
110,110,0,52,0,55,0,2,60,2,0,18,1,19,1,12
111,111,1,10,1,16,1,2,20,2,0,27,1,87,0,75
112,112,1,25,1,28,1,1,20,0,0,22,1,15,1,12
113,113,0,63,1,81,1,1,42,0,0,49,0,123,1,23
114,114,1,42,0,51,1,2,48,0,0,5,1,22,1,12
115,115,0,61,1,35,1,2,38,0,0,80,0,85,1,3
116,116,1,50,0,65,0,1,40,0,1,95,0,184,1,28
117,117,1,74,1,73,1,2,64,2,0,63,0,161,1,11
118,118,1,70,0,82,0,2,78,2,1,97,1,182,1,21
119,119,1,32,0,52,0,1,33,0,1,67,0,131,1,44
120,120,1,25,1,2,1,2,15,0,0,50,1,65,0,72
121,121,0,40,0,49,1,2,52,2,1,13,1,188,1,12
122,122,0,45,0,48,0,0,50,0,1,64,0,185,1,10
123,123,1,64,1,23,1,1,64,0,1,27,1,37,1,11
124,124,1,46,0,59,0,2,31,1,1,34,1,94,1,12
125,125,0,94,0,66,0,1,64,0,0,55,0,196,1,32
126,126,0,81,1,28,1,2,69,2,1,45,0,169,1,2
127,127,0,60,1,24,1,2,48,0,0,10,1,57,1,12
128,128,1,84,0,68,0,2,77,2,1,65,1,203,1,36
129,129,1,72,0,89,1,1,38,0,1,82,0,171,1,12
130,130,1,36,0,41,1,1,18,0,0,69,0,129,0,100
131,131,0,66,1,20,1,2,23,1,1,63,0,89,1,33
132,132,1,46,1,51,1,1,27,0,1,54,1,13,1,28
133,133,1,61,0,37,1,1,71,0,1,36,1,91,1,12
134,134,0,76,0,94,1,1,60,0,1,90,0,162,1,12
135,135,0,60,0,19,1,2,48,0,0,12,1,146,1,0
136,136,0,6,0,23,0,0,27,0,0,60,0,98,0,108
137,137,1,46,1,35,0,1,60,0,0,14,1,83,1,6
138,138,0,89,1,37,1,2,64,2,1,95,0,191,1,12
139,139,1,74,0,55,0,1,15,0,1,22,0,16,1,5
140,140,1,42,0,39,1,1,51,0,1,14,0,40,1,17
141,141,1,44,0,37,0,2,18,0,0,27,1,101,0,106
142,142,1,97,0,24,1,2,66,2,1,27,0,95,1,15
143,143,1,77,1,40,1,1,55,0,0,80,0,82,1,28
144,144,1,12,1,11,1,0,20,0,0,27,0,60,0,104
145,145,1,102,1,44,1,2,57,2,0,48,1,124,1,36
146,146,1,36,0,35,1,2,38,0,0,71,1,24,1,9
147,147,1,56,0,71,0,1,36,0,0,68,0,106,1,28
148,148,0,74,0,86,0,0,8,1,0,17,0,128,1,11
149,149,1,3,0,21,0,0,7,0,1,35,1,61,0,102
150,150,1,59,0,22,0,2,14,2,1,14,0,96,1,43
151,151,1,42,0,41,0,1,68,0,0,68,0,66,1,19
152,152,0,69,1,26,0,2,86,2,0,99,0,139,1,11
153,153,1,8,1,23,1,2,36,2,1,72,0,110,1,31
154,154,1,15,0,35,1,2,18,0,1,45,0,10,1,12
155,155,1,11,1,72,1,1,17,0,1,15,1,149,0,99
156,156,1,95,0,54,0,2,36,2,1,63,1,8,1,14
157,157,1,45,0,33,0,1,19,0,0,88,0,23,1,28
158,158,1,46,1,35,1,2,27,2,0,27,0,100,0,98
159,159,1,12,0,8,1,1,14,0,0,31,1,86,0,97
160,160,1,100,0,71,0,2,36,2,1,55,1,194,1,28
161,161,1,20,1,13,1,1,13,0,0,21,1,115,0,96
162,162,1,65,0,88,1,1,73,0,1,56,0,151,1,24
163,163,1,37,1,49,1,2,27,2,0,55,0,154,1,41
164,164,0,47,0,64,0,1,26,0,0,4,0,144,1,12
165,165,0,38,0,79,1,1,67,0,0,63,0,200,0,94
166,166,1,36,1,32,1,1,18,0,1,32,1,5,1,11
167,167,1,48,1,32,1,2,42,2,1,24,0,201,0,93
168,168,0,7,0,13,0,1,14,0,1,27,1,63,0,92
169,169,1,28,1,4,1,2,21,2,0,8,1,142,0,69
170,170,0,39,1,50,1,1,18,0,0,23,1,176,0,89
171,171,1,83,1,82,1,1,60,0,1,33,0,150,1,26
172,172,1,61,1,21,1,1,8,0,0,69,1,6,1,28
173,173,0,12,1,14,1,2,7,2,0,38,1,70,0,48
174,174,1,62,1,12,1,2,30,2,1,34,0,152,1,41
175,175,1,37,1,32,1,2,36,2,0,76,1,88,0,47
176,176,0,26,0,24,1,1,8,0,0,9,1,51,1,5
177,177,0,61,0,95,1,1,81,0,1,80,0,183,1,42
178,178,1,49,1,19,1,2,46,2,0,50,1,168,1,32
179,179,0,78,0,37,0,2,28,2,0,57,1,193,0,49
180,180,1,42,0,61,1,1,24,0,1,17,0,34,1,17
181,181,1,36,0,25,1,2,29,2,0,32,1,78,0,45
182,182,1,12,1,41,1,0,12,1,1,55,0,77,0,66
183,183,1,42,0,76,0,1,48,0,0,27,1,99,1,21
184,184,0,23,1,34,1,1,16,0,0,27,1,44,0,52
185,185,0,101,0,63,0,2,78,1,0,66,1,187,1,13
186,186,0,12,0,37,0,1,20,0,0,9,0,121,0,54
187,187,1,80,0,42,0,2,42,2,1,91,0,136,1,23
188,188,1,35,1,7,1,1,6,0,0,17,0,32,0,56
189,189,0,16,0,77,1,1,49,0,0,94,0,159,0,57
190,190,0,40,1,56,0,1,20,0,0,0,0,111,0,58
191,191,1,46,1,28,0,2,60,0,0,48,0,93,1,16
192,192,1,43,0,31,0,1,35,0,1,88,0,46,1,19
193,193,0,29,0,35,0,0,8,1,1,63,1,35,1,28
194,194,1,12,1,18,1,1,10,0,0,25,0,135,0,62
195,195,1,44,0,74,0,1,60,0,1,69,1,67,1,20
196,196,1,60,1,35,1,2,75,2,1,60,0,17,1,12
197,197,0,93,1,15,1,2,88,2,0,26,1,178,1,15
198,198,0,46,0,55,0,1,36,1,0,78,1,192,0,50
199,199,1,51,1,41,1,1,12,0,0,50,1,29,1,17
200,200,1,51,1,24,1,1,36,0,0,77,0,9,1,28
201,201,1,17,0,35,1,2,14,0,0,62,1,58,0,60
202,202,1,56,0,35,0,2,38,2,0,29,1,79,1,11
203,203,1,21,1,30,1,1,11,0,0,37,1,54,1,15
204,204,0,64,1,66,1,1,64,0,1,63,0,165,1,2
205,205,1,33,1,32,1,1,36,0,0,31,0,38,1,12
206,206,1,1,0,3,0,2,18,0,0,97,0,12,0,46
207,207,1,91,0,78,1,1,20,0,1,79,0,189,1,28
208,208,0,2,0,24,1,2,36,0,0,86,1,120,0,63
209,209,1,36,0,63,0,1,36,0,0,38,0,33,1,3
210,210,1,85,1,84,1,1,76,0,0,83,0,199,1,36
211,211,1,25,1,24,1,2,60,2,0,52,0,14,1,20
212,212,1,46,1,49,1,1,64,0,1,25,0,179,1,27
213,213,0,64,1,45,1,1,14,0,0,45,1,81,1,1
214,214,1,36,0,21,1,2,4,0,0,80,1,80,0,111
