,sl_no,ssc_p,ssc_b,hsc_p,hsc_b,hsc_s,degree_t,workex,etest_p,specialisation,mba_p,status,salary
0,1,67.0,Others,91.0,Others,Commerce,Sci&Tech,No,55.0,Mkt&HR,58.8,Placed,270000.0
1,2,79.33,Central,78.33,Others,Science,Sci&Tech,Yes,86.5,Mkt&Fin,66.28,Placed,200000.0
2,3,65.0,Central,68.0,Central,Arts,Comm&Mgmt,No,75.0,Mkt&Fin,57.8,Placed,250000.0
3,4,56.0,Central,52.0,Central,Science,Sci&Tech,No,66.0,Mkt&HR,59.43,Not Placed,
4,5,85.8,Central,73.6,Central,Commerce,Comm&Mgmt,No,96.8,Mkt&Fin,55.5,Placed,425000.0
5,6,55.0,Others,49.8,Others,Science,Sci&Tech,Yes,55.0,Mkt&Fin,51.58,Not Placed,
6,7,46.0,Others,49.2,Others,Commerce,Comm&Mgmt,No,74.28,Mkt&Fin,53.29,Not Placed,
7,8,82.0,Central,64.0,Central,Science,Sci&Tech,Yes,67.0,Mkt&Fin,62.14,Placed,252000.0
8,9,73.0,Central,79.0,Central,Commerce,Comm&Mgmt,No,91.34,Mkt&Fin,61.29,Placed,231000.0
9,10,58.0,Central,70.0,Central,Commerce,Comm&Mgmt,No,54.0,Mkt&Fin,52.21,Not Placed,
10,11,58.0,Central,61.0,Central,Commerce,Comm&Mgmt,Yes,62.0,Mkt&HR,60.85,Placed,260000.0
11,12,69.6,Central,68.4,Central,Commerce,Comm&Mgmt,Yes,60.0,Mkt&Fin,63.7,Placed,250000.0
12,13,47.0,Central,55.0,Others,Science,Comm&Mgmt,No,62.0,Mkt&HR,65.04,Not Placed,
13,14,77.0,Central,87.0,Central,Commerce,Comm&Mgmt,No,68.0,Mkt&Fin,68.63,Placed,218000.0
14,15,62.0,Central,47.0,Central,Commerce,Comm&Mgmt,No,76.0,Mkt&HR,54.96,Not Placed,
15,16,65.0,Central,75.0,Central,Commerce,Comm&Mgmt,Yes,72.0,Mkt&Fin,64.66,Placed,200000.0
16,17,63.0,Central,66.2,Central,Commerce,Comm&Mgmt,Yes,60.0,Mkt&Fin,62.54,Placed,300000.0
17,18,55.0,Central,67.0,Central,Commerce,Comm&Mgmt,No,60.0,Mkt&Fin,67.28,Not Placed,
